Region,Name,Start,End,Level,Add
0,7,-4500,"-3900_-3800",1,TRUE
0,5,"-3900_-3800","-3729_-3600",1,TRUE
0,2,"-3729_-3600",-3354,1,TRUE
0,3,"-3354_-3433",-2409,1,TRUE
0,9,-3167,"-2349_-2852",1,TRUE
0,25,"-2349_-2852","-2687_-2557",1,TRUE
0,10,"-2687_-2557",-1917,1,TRUE
1,2,-4000,-3000,1,FALSE
1,10,-3000,-2000,1,TRUE
1,7,-4300,-3700,2,FALSE
1,12,-3000,-2700,2,TRUE
1,20,-2700,-2450,2,FALSE
1,15,-2700,-2450,3,FALSE
1,22,-2450,-2200,2,TRUE
1,3,-2200,"-2200_-2100",2,TRUE
1,25,"-2200_-2100",-1900,2,TRUE
2,101,-5400,"-4600_-4400",1,TRUE
2,102,"-4600_-4400","-3300_-3200",1,TRUE
2,103,"-3300_-3200",-2800,1,TRUE
2,105,-3000,-2300,2,FALSE
2,104,-2800,-2500,3,FALSE
2,106,-2500,-2200,4,FALSE
3,700,-3900,-3350,1,TRUE
3,610,-3350,-3000,1,TRUE
3,621,-3000,-2900,1,TRUE
3,622,-2900,-2750,1,TRUE
3,630,-2750,-2500,1,TRUE
3,510,-2000,-1750,1,TRUE
5,15,-2812,"-2717_-2514",1,TRUE
5,22,"-2717_-2514",-2363,2,TRUE
6,3,-3796,"-3541_-3447",1,TRUE
6,4,"-3541_-3447",-3107,2,TRUE
7,34,-3500,-2800,1,TRUE
7,3,-3500,-3400,2,TRUE
7,4,-3400,-2900,2,TRUE
8,26,-4500,-4000,1,TRUE
9,6,-2500,-2000,1,TRUE
